item,content,short_trigger,workerid,prior_type,prior_fact,block_ai,ai,projective,eventItemNr,eventItem,contentNew,prior_typeNew,contentFact,Mean_prior,YMin_prior,YMax_prior,cMean_prior,cai,betaProjective,betaAI
confess_frank,frank,confess,274,high_prior,Frank has always wanted a pet,block1,0.02000000000000001,0.98,12: Frank got a cat,Frank got a cat,Frank got a cat,factH,Frank got a cat-factH,0.6529478458049887,0.6366853741496599,0.6679852607709751,0.18800972199483496,-0.6079253112033195,0.9780082987551867,0.021853281853281864
confess_frank,frank,confess,384,high_prior,Frank has always wanted a pet,block1,0.99,0.64,12: Frank got a cat,Frank got a cat,Frank got a cat,factH,Frank got a cat-factH,0.6529478458049887,0.6366853741496599,0.6679852607709751,0.18800972199483496,0.3620746887966805,0.6394190871369294,0.988108108108108
confess_frank,frank,confess,409,low_prior,Frank is allergic to cats,block1,0.83,0.86,12: Frank got a cat,Frank got a cat,Frank got a cat,factL,Frank got a cat-factL,0.12691764705882352,0.11072941176470588,0.14491764705882354,-0.3380204767513302,0.20207468879668045,0.8585062240663901,0.8287258687258686
confess_frank,frank,confess,541,high_prior,Frank has always wanted a pet,block1,0.98,0.98,12: Frank got a cat,Frank got a cat,Frank got a cat,factH,Frank got a cat-factH,0.6529478458049887,0.6366853741496599,0.6679852607709751,0.18800972199483496,0.35207468879668047,0.9780082987551867,0.9781467181467182
confess_frank,frank,confess,555,high_prior,Frank has always wanted a pet,block1,0.87,0.79,12: Frank got a cat,Frank got a cat,Frank got a cat,factH,Frank got a cat-factH,0.6529478458049887,0.6366853741496599,0.6679852607709751,0.18800972199483496,0.24207468879668048,0.7887966804979254,0.8685714285714285
confess_grace,grace,confess,24,high_prior,Grace loves her sister,block1,1,0.75,9: Grace visited her sister,Grace visited her sister,Grace visited her sister,factH,Grace visited her sister-factH,0.8010989010989011,0.7860186813186814,0.8147851648351648,0.33616077728874744,0.3720746887966805,0.7489626556016598,0.9980694980694981
confess_grace,grace,confess,133,high_prior,Grace loves her sister,block1,1,0.69,9: Grace visited her sister,Grace visited her sister,Grace visited her sister,factH,Grace visited her sister-factH,0.8010989010989011,0.7860186813186814,0.8147851648351648,0.33616077728874744,0.3720746887966805,0.6892116182572614,0.9980694980694981
confess_grace,grace,confess,184,high_prior,Grace loves her sister,block1,0.56,0.48,9: Grace visited her sister,Grace visited her sister,Grace visited her sister,factH,Grace visited her sister-factH,0.8010989010989011,0.7860186813186814,0.8147851648351648,0.33616077728874744,-0.06792531120331946,0.4800829875518672,0.5597683397683398
confess_grace,grace,confess,267,low_prior,Grace hates her sister,block1,0.72,1,9: Grace visited her sister,Grace visited her sister,Grace visited her sister,factL,Grace visited her sister-factL,0.22931873479318737,0.2096301703163017,0.24844403892944036,-0.23561938901696633,0.09207468879668046,0.9979253112033195,0.7191505791505791
confess_grace,grace,confess,314,low_prior,Grace hates her sister,block1,1,0.84,9: Grace visited her sister,Grace visited her sister,Grace visited her sister,factL,Grace visited her sister-factL,0.22931873479318737,0.2096301703163017,0.24844403892944036,-0.23561938901696633,0.3720746887966805,0.8385892116182573,0.9980694980694981
confess_grace,grace,confess,334,low_prior,Grace hates her sister,block1,0.72,0.57,9: Grace visited her sister,Grace visited her sister,Grace visited her sister,factL,Grace visited her sister-factL,0.22931873479318737,0.2096301703163017,0.24844403892944036,-0.23561938901696633,0.09207468879668046,0.5697095435684647,0.7191505791505791
confess_grace,grace,confess,419,low_prior,Grace hates her sister,block1,0.99,0.02,9: Grace visited her sister,Grace visited her sister,Grace visited her sister,factL,Grace visited her sister-factL,0.22931873479318737,0.2096301703163017,0.24844403892944036,-0.23561938901696633,0.3620746887966805,0.021991701244813276,0.988108108108108
confess_grace,grace,confess,443,high_prior,Grace loves her sister,block1,0.49,0.3,9: Grace visited her sister,Grace visited her sister,Grace visited her sister,factH,Grace visited her sister-factH,0.8010989010989011,0.7860186813186814,0.8147851648351648,0.33616077728874744,-0.13792531120331952,0.3008298755186722,0.49003861003861005
confess_grace,grace,confess,466,low_prior,Grace hates her sister,block1,0.01,0.53,9: Grace visited her sister,Grace visited her sister,Grace visited her sister,factL,Grace visited her sister-factL,0.22931873479318737,0.2096301703163017,0.24844403892944036,-0.23561938901696633,-0.6179253112033195,0.5298755186721992,0.011891891891891892
confess_isabella,isabella,confess,21,high_prior,Isabella is from Argentina,block1,1,0.77,7: Isabella ate a steak on Sunday,Isabella ate a steak on Sunday,Isabella ate a steak on Sunday,factH,Isabella ate a steak on Sunday-factH,0.4992009132420091,0.4839925799086757,0.5139554794520549,0.0342627894318554,0.3720746887966805,0.7688796680497926,0.9980694980694981
confess_isabella,isabella,confess,33,high_prior,Isabella is from Argentina,block1,0,0.04,7: Isabella ate a steak on Sunday,Isabella ate a steak on Sunday,Isabella ate a steak on Sunday,factH,Isabella ate a steak on Sunday-factH,0.4992009132420091,0.4839925799086757,0.5139554794520549,0.0342627894318554,-0.6279253112033195,0.041908713692946055,0.0019305019305019305
confess_isabella,isabella,confess,78,high_prior,Isabella is from Argentina,block1,0,0.22,7: Isabella ate a steak on Sunday,Isabella ate a steak on Sunday,Isabella ate a steak on Sunday,factH,Isabella ate a steak on Sunday-factH,0.4992009132420091,0.4839925799086757,0.5139554794520549,0.0342627894318554,-0.6279253112033195,0.22116182572614107,0.0019305019305019305
confess_isabella,isabella,confess,126,high_prior,Isabella is from Argentina,block1,0.97,0.01,7: Isabella ate a steak on Sunday,Isabella ate a steak on Sunday,Isabella ate a steak on Sunday,factH,Isabella ate a steak on Sunday-factH,0.4992009132420091,0.4839925799086757,0.5139554794520549,0.0342627894318554,0.34207468879668046,0.012033195020746887,0.9681853281853281
confess_isabella,isabella,confess,156,low_prior,Isabella is a vegetarian,block1,0.9,0.81,7: Isabella ate a steak on Sunday,Isabella ate a steak on Sunday,Isabella ate a steak on Sunday,factL,Isabella ate a steak on Sunday-factL,0.09432242990654206,0.07841063084112149,0.11161390186915889,-0.37061569390361165,0.2720746887966805,0.8087136929460581,0.8984555984555985
confess_isabella,isabella,confess,174,high_prior,Isabella is from Argentina,block1,0.97,0.38,7: Isabella ate a steak on Sunday,Isabella ate a steak on Sunday,Isabella ate a steak on Sunday,factH,Isabella ate a steak on Sunday-factH,0.4992009132420091,0.4839925799086757,0.5139554794520549,0.0342627894318554,0.34207468879668046,0.38049792531120336,0.9681853281853281
