trigger_class,prior,workerid,rt,Answer.time_in_minutes,trigger,prior_fact,slide_number_in_experiment,response,question_type,content,block,short_trigger
MC,,1,6050,5.719,MC,Hats are worn on the head,48,1,ai,hat,block2,MC
C,high_prior,1,6406,5.719,establish,Isabella is from Argentina,49,0.82,ai,isabella,block2,establish
MC,,1,3357,5.719,MC,Ballet is a type of dance,50,1,ai,ballet,block2,MC
MC,,1,2639,5.719,MC,Garages are used to store cars and other things,51,1,ai,garage,block2,MC
C,high_prior,1,3443,5.719,hear,Julian is Cuban,52,0,ai,julian,block2,hear
C,high_prior,1,3719,5.719,say,Jon lives 2 blocks away from work,53,0.73,ai,jon,block2,say
C,low_prior,1,5469,5.719,prove,Zoe is 5 years old,54,0.72,ai,zoe,block2,prove
MC,,1,2490,5.719,MC,Pizza is sold at the pizzeria,55,1,ai,pizza,block2,MC
C,low_prior,1,3279,5.719,announce,Jackson is obese,56,0.77,ai,jackson,block2,announce
C,high_prior,1,3908,5.719,acknowledge,Charley lives in Mexico,57,0.22,ai,charley,block2,acknowledge
C,low_prior,2,35159,11.41945,see,Emily never has any money,5,0.68,ai,emily,block1,see
C,high_prior,2,17024,11.41945,know,Jackson is training for a marathon,6,0.01,ai,jackson,block1,know
C,low_prior,2,15976,11.41945,establish,Tony has been sober for 20 years,7,1,ai,tony,block1,establish
C,low_prior,2,14200,11.41945,be_right,Jayden doesn't have a driver's license,8,0.98,ai,jayden,block1,be_right
C,high_prior,2,24352,11.41945,pretend,Jon lives 2 blocks away from work,9,0.01,ai,jon,block1,pretend
C,high_prior,2,32984,11.41945,confirm,Josie loves France,10,1,ai,josie,block1,confirm
C,high_prior,2,11888,11.41945,admit,Mary is taking a prenatal yoga class,11,0.02,ai,mary,block1,admit
C,low_prior,2,11472,11.41945,announce,Mia is a nun,12,0.01,ai,mia,block1,announce
MC,,2,9304,11.41945,MC,Ballet is a type of dance,13,0.98,ai,ballet,block1,MC
C,high_prior,2,10856,11.41945,suggest,Grace loves her sister,14,0.01,ai,grace,block1,suggest
C,high_prior,2,18856,11.41945,confess,Frank has always wanted a pet,15,0.98,ai,frank,block1,confess
C,low_prior,2,39247,11.41945,be_annoyed,Zoe is 5 years old,16,0.21,ai,zoe,block1,be_annoyed
C,high_prior,2,17263,11.41945,think,Owen lives in Chicago,17,0.02,ai,owen,block1,think
C,low_prior,2,32984,11.41945,inform,Julian is German,18,0.99,ai,julian,block1,inform
MC,,2,11303,11.41945,MC,Many children like ice cream,19,0.98,ai,kids,block1,MC
MC,,2,8328,11.41945,MC,Garages are used to store cars and other things,20,0.99,ai,garage,block1,MC
C,low_prior,2,9160,11.41945,acknowledge,Sophia is a high end fashion model,21,0.98,ai,sophia,block1,acknowledge
C,high_prior,2,10992,11.41945,say,Charley lives in Mexico,22,0.99,ai,charley,block1,say
C,high_prior,2,20040,11.41945,discover,Josh is a 5-year old boy,23,0.76,ai,josh,block1,discover
C,low_prior,2,17168,11.41945,demonstrate,Isabella is a vegetarian,24,0.64,ai,isabella,block1,demonstrate
