short_trigger,projective,aiMean,prior,content,workerid,betaProjective,caiMean,cprior
establish,0,0.3075,0.07,emma,508,9.9009900990099e-4,-0.06588304995749095,-0.35308910891089107
establish,0.09,0.468125,0.73,emma,535,0.0908118811881188,0.09474195004250907,0.3069108910891089
establish,0.98,0.3075,0.42,emma,568,0.979049504950495,-0.06588304995749095,-0.003089108910891092
establish,0.23,0.30772727272727274,0.57,frank,33,0.23053465346534657,-0.0656557772302182,0.14691089108910887
establish,0.51,0.30772727272727274,0.49,frank,60,0.509980198019802,-0.0656557772302182,0.06691089108910891
establish,0.48,0.29482758620689653,0.08,frank,80,0.480039603960396,-0.07855546375059441,-0.34308910891089106
establish,0.81,0.29482758620689653,0.14,frank,86,0.8093861386138614,-0.07855546375059441,-0.28308910891089106
establish,0,0.29482758620689653,0,frank,101,9.9009900990099e-4,-0.07855546375059441,-0.4230891089108911
establish,0.51,0.30772727272727274,0.55,frank,167,0.509980198019802,-0.0656557772302182,0.12691089108910897
establish,0.28,0.29482758620689653,0.03,frank,170,0.28043564356435646,-0.07855546375059441,-0.3930891089108911
establish,0.02,0.29482758620689653,0.02,frank,200,0.02095049504950495,-0.07855546375059441,-0.40308910891089106
establish,0.03,0.30772727272727274,0.5,frank,201,0.03093069306930693,-0.0656557772302182,0.07691089108910892
establish,0.15,0.29482758620689653,0.04,frank,239,0.1506930693069307,-0.07855546375059441,-0.3830891089108911
establish,0.05,0.30772727272727274,0.95,frank,263,0.05089108910891089,-0.0656557772302182,0.5269108910891089
establish,0.12,0.29482758620689653,0.08,frank,268,0.12075247524752476,-0.07855546375059441,-0.34308910891089106
establish,0.66,0.30772727272727274,0.75,frank,289,0.6596831683168317,-0.0656557772302182,0.3269108910891089
establish,0.64,0.30772727272727274,0.83,frank,316,0.6397227722772277,-0.0656557772302182,0.4069108910891089
establish,0.14,0.29482758620689653,0.02,frank,353,0.14071287128712873,-0.07855546375059441,-0.40308910891089106
establish,0.5,0.30772727272727274,0.86,frank,387,0.5,-0.0656557772302182,0.4369108910891089
establish,0.71,0.29482758620689653,0.01,frank,427,0.7095841584158415,-0.07855546375059441,-0.41308910891089107
establish,0.23,0.30772727272727274,0.51,frank,481,0.23053465346534657,-0.0656557772302182,0.08691089108910893
establish,0,0.29482758620689653,0,frank,529,9.9009900990099e-4,-0.07855546375059441,-0.4230891089108911
establish,0.01,0.30772727272727274,0.51,frank,533,0.01097029702970297,-0.0656557772302182,0.08691089108910893
establish,0.01,0.30772727272727274,0.51,frank,537,0.01097029702970297,-0.0656557772302182,0.08691089108910893
establish,0,0.42192307692307696,0.99,grace,11,9.9009900990099e-4,0.048540026965586014,0.566910891089109
establish,0.25,0.32681818181818184,0.49,grace,37,0.2504950495049505,-0.0465648681393091,0.06691089108910891
