content,trigger_class,block,question_type,workerid,slide_number_in_experiment,prior_fact,rt,Answer.time_in_minutes,trigger,prior,response,short_trigger
zoe,C,block1,projective,2,16,Zoe is 5 years old,2160,3.7016833333333334,inform,low_prior,0.66,inform
julian,C,block1,projective,2,17,Julian is Cuban,2469,3.7016833333333334,discover,high_prior,0.77,discover
hat,MC,block1,projective,2,18,Hats are worn on the head,3370,3.7016833333333334,MC,,0.7,MC
grace,C,block1,projective,2,19,Grace hates her sister,1880,3.7016833333333334,announce,low_prior,0.81,announce
garage,MC,block1,projective,2,20,Garages are used to store cars and other things,1940,3.7016833333333334,MC,,0.65,MC
kids,MC,block1,projective,2,21,Many children like ice cream,1460,3.7016833333333334,MC,,0.76,MC
mary,C,block1,projective,2,22,Mary is a middle school student,1580,3.7016833333333334,reveal,low_prior,0.64,reveal
charley,C,block1,projective,2,23,Charley lives in Korea,1260,3.7016833333333334,admit,low_prior,0.75,admit
danny,C,block1,projective,2,24,Danny loves cake,1301,3.7016833333333334,pretend,high_prior,0.66,pretend
josie,C,block1,projective,2,25,Josie doesn't have a passport,1339,3.7016833333333334,establish,low_prior,0.76,establish
mia,C,block1,projective,2,26,Mia is a nun,1900,3.7016833333333334,hear,low_prior,0.68,hear
jackson,C,block1,projective,2,27,Jackson is training for a marathon,1739,3.7016833333333334,confess,high_prior,0.8,confess
sophia,C,block1,projective,2,28,Sophia is a hipster,1581,3.7016833333333334,acknowledge,high_prior,0.59,acknowledge
olivia,C,block1,projective,2,29,Olivia works the third shift,1179,3.7016833333333334,demonstrate,high_prior,0.69,demonstrate
jayden,C,block1,projective,2,30,Jayden doesn't have a driver's license,1200,3.7016833333333334,think,low_prior,0.48,think
frank,C,block2,prior,2,32,Frank has always wanted a pet,3808,3.7016833333333334,be_annoyed,high_prior,0.64,be_annoyed
julian,C,block2,prior,2,33,Julian is Cuban,6109,3.7016833333333334,discover,high_prior,0.76,discover
ballet,MC,block2,prior,2,34,Ballet is a type of dance,1500,3.7016833333333334,MC,,0.62,MC
isabella,C,block2,prior,2,35,Isabella is from Argentina,1199,3.7016833333333334,say,high_prior,0.73,say
owen,C,block2,prior,2,36,Owen lives in New Orleans,1420,3.7016833333333334,know,low_prior,0.62,know
jon,C,block2,prior,2,37,Jon lives 2 blocks away from work,1360,3.7016833333333334,prove,high_prior,0.72,prove
jackson,C,block2,prior,2,38,Jackson is training for a marathon,1700,3.7016833333333334,confess,high_prior,0.61,confess
grace,C,block2,prior,2,39,Grace hates her sister,1280,3.7016833333333334,announce,low_prior,0.77,announce
pizza,MC,block2,prior,2,40,Pizza is sold at the pizzeria,2500,3.7016833333333334,MC,,0.65,MC
olivia,C,block2,prior,2,41,Olivia works the third shift,1260,3.7016833333333334,demonstrate,high_prior,0.54,demonstrate
sophia,C,block2,prior,2,42,Sophia is a hipster,1180,3.7016833333333334,acknowledge,high_prior,0.67,acknowledge
tony,C,block2,prior,2,43,Tony really likes to party with his friends,2540,3.7016833333333334,confirm,high_prior,0.74,confirm
jayden,C,block2,prior,2,44,Jayden doesn't have a driver's license,1240,3.7016833333333334,think,low_prior,0.58,think
muffins,MC,block2,prior,2,45,Muffins are sold at the bakery,1529,3.7016833333333334,MC,,0.71,MC
zoe,C,block2,prior,2,46,Zoe is 5 years old,1590,3.7016833333333334,inform,low_prior,0.64,inform
garage,MC,block2,prior,2,47,Garages are used to store cars and other things,2040,3.7016833333333334,MC,,0.78,MC
charley,C,block2,prior,2,48,Charley lives in Korea,1655,3.7016833333333334,admit,low_prior,0.68,admit
josie,C,block2,prior,2,49,Josie doesn't have a passport,1725,3.7016833333333334,establish,low_prior,0.76,establish
kids,MC,block2,prior,2,50,Many children like ice cream,1260,3.7016833333333334,MC,,0.71,MC
hat,MC,block2,prior,2,51,Hats are worn on the head,4000,3.7016833333333334,MC,,0.75,MC
mary,C,block2,prior,2,52,Mary is a middle school student,1620,3.7016833333333334,reveal,low_prior,0.61,reveal
mia,C,block2,prior,2,53,Mia is a nun,1319,3.7016833333333334,hear,low_prior,0.75,hear
emily,C,block2,prior,2,54,Emily has been saving for a year,1700,3.7016833333333334,see,high_prior,0.66,see
danny,C,block2,prior,2,55,Danny loves cake,1440,3.7016833333333334,pretend,high_prior,0.8,pretend
emma,C,block2,prior,2,56,Emma is in first grade,2001,3.7016833333333334,suggest,low_prior,0.68,suggest
josh,C,block2,prior,2,57,Josh is a 75-year old man,1340,3.7016833333333334,be_right,low_prior,0.77,be_right
mary,C,block1,projective,3,5,Mary is taking a prenatal yoga class,5922,5.79545,be_right,high_prior,0.82,be_right
muffins,MC,block1,projective,3,6,Muffins are sold at the bakery,1366,5.79545,MC,,0.46,MC
emily,C,block1,projective,3,7,Emily never has any money,1175,5.79545,know,low_prior,0.58,know
jayden,C,block1,projective,3,8,Jayden doesn't have a driver's license,1296,5.79545,suggest,low_prior,0.64,suggest
kids,MC,block1,projective,3,9,Many children like ice cream,1184,5.79545,MC,,0.41,MC
josie,C,block1,projective,3,10,Josie doesn't have a passport,936,5.79545,think,low_prior,0.56,think
zoe,C,block1,projective,3,11,Zoe is a math major,1016,5.79545,reveal,high_prior,0.72,reveal
hat,MC,block1,projective,3,12,Hats are worn on the head,984,5.79545,MC,,0.45,MC
olivia,C,block1,projective,3,13,Olivia has two small children,943,5.79545,hear,low_prior,0.59,hear
julian,C,block1,projective,3,14,Julian is Cuban,958,5.79545,announce,high_prior,0.84,announce
sophia,C,block1,projective,3,15,Sophia is a hipster,1072,5.79545,confirm,high_prior,0.45,confirm
mia,C,block1,projective,3,16,Mia is a nun,24750,5.79545,admit,low_prior,0.51,admit
grace,C,block1,projective,3,17,Grace loves her sister,1417,5.79545,pretend,high_prior,0.7,pretend
danny,C,block1,projective,3,18,Danny loves cake,721,5.79545,see,high_prior,0.53,see
jon,C,block1,projective,3,19,Jon lives 10 miles away from work,782,5.79545,demonstrate,low_prior,0.67,demonstrate
tony,C,block1,projective,3,20,Tony has been sober for 20 years,783,5.79545,discover,low_prior,0.43,discover
