short_trigger,contentFact,Mean_prior,YMin_prior,YMax_prior,Mean_proj,YMin_proj,YMax_proj,Mean_ai,YMin_ai,YMax_ai
know,Jon walks to work-factL,0.11,0.06285714285714286,0.16289285714285712,0.7742857142857142,0.554142857142857,0.94,0.61,0.3757142857142857,0.8171785714285714
know,Josh learned to ride a bike yesterday-factH,0.5549999999999999,0.42333333333333334,0.6617916666666666,0.88,0.8266666666666667,0.9349999999999999,0.5866666666666667,0.29000000000000004,0.8568333333333332
know,Josh learned to ride a bike yesterday-factL,0.11,0.014958333333333337,0.275,0.9416666666666667,0.891625,0.98,0.6783333333333333,0.3564583333333333,0.900125
know,Josie went on vacation to France-factH,0.8525,0.7699687500000001,0.93003125,0.7175,0.46996875,0.93125,0.58875,0.29,0.8750312499999999
know,Josie went on vacation to France-factL,0.27545454545454545,0.08363636363636362,0.494681818181818,0.6090909090909091,0.36088636363636367,0.8182272727272726,0.7145454545454546,0.5036363636363637,0.9027954545454544
know,Julian dances salsa-factH,0.6111111111111112,0.5233055555555556,0.7,0.638888888888889,0.36661111111111105,0.8811388888888888,0.6177777777777778,0.3499722222222223,0.8722777777777777
know,Julian dances salsa-factL,0.26666666666666666,0.1710833333333333,0.36224999999999996,0.8133333333333334,0.6121944444444445,0.9544444444444444,0.5877777777777777,0.3533055555555556,0.8011666666666666
know,Mary is pregnant-factH,0.7928571428571428,0.5383571428571429,0.9559285714285712,0.7428571428571429,0.48,0.9657142857142856,0.83,0.6085357142857143,0.9628571428571429
know,Mary is pregnant-factL,0.15888888888888889,0.10111111111111112,0.21888888888888888,0.8655555555555555,0.76,0.9555833333333333,0.7955555555555556,0.6421666666666668,0.9278333333333334
know,Mia drank 2 cocktails last night-factH,0.53625,0.38496875,0.6837812499999999,0.85875,0.7774687499999999,0.9312499999999999,0.74125,0.53371875,0.9087812499999999
know,Mia drank 2 cocktails last night-factL,0.1375,0.06125,0.2325,0.6925,0.45625000000000004,0.9001562499999999,0.8075,0.57875,0.94875
know,Olivia sleeps until noon-factH,0.52,0.03999999999999998,1,0.99,0.98,1,0,0,0
know,Olivia sleeps until noon-factL,0.095,0.027499999999999997,0.1775,0.7075,0.265,0.945,0.495,0.065,0.9325
know,Owen shoveled snow last winter-factH,0.8785714285714286,0.8042499999999999,0.9685714285714285,0.8328571428571429,0.5613928571428571,0.9828571428571429,0.8414285714285714,0.5599999999999999,0.99
know,Owen shoveled snow last winter-factL,0.32999999999999996,0.05199999999999999,0.63,0.83,0.652,0.978,0.984,0.9520000000000001,1
know,Sophia got a tattoo-factH,0.8275,0.7025,0.9,0.9299999999999999,0.8049999999999999,1,0.9099999999999999,0.7525,1
know,Sophia got a tattoo-factL,0.4409090909090909,0.33452272727272725,0.5463863636363636,0.6881818181818182,0.46545454545454545,0.8863636363636364,0.6054545454545455,0.36536363636363633,0.82
know,Tony had a drink last night-factH,0.706,0.625,0.794,0.843,0.77,0.9170250000000001,0.63,0.39597499999999997,0.85005
know,Tony had a drink last night-factL,0.09125,0.024968749999999998,0.16128125,0.8475,0.6549687500000001,0.9775,0.8475,0.6425,0.99125
