short_trigger,contentFact,Mean_prior,YMin_prior,YMax_prior,Mean_proj,YMin_proj,YMax_proj,Mean_ai,YMin_ai,YMax_ai
confess,Emma studied on Saturday morning-factH,0.7216666666666667,0.6682916666666666,0.7950416666666668,0.54,0.32833333333333337,0.7384999999999998,0.4,0.27495833333333336,0.5233333333333333
confess,Emma studied on Saturday morning-factL,0.17333333333333334,0,0.4,0.22666666666666668,0.01999999999999999,0.39,0.9666666666666667,0.91,1
confess,Frank got a cat-factH,0.5740000000000001,0.432,0.71,0.6880000000000001,0.446,0.906,0.326,0.094,0.644
confess,Frank got a cat-factL,0.18333333333333332,0.05000000000000002,0.3,0.7633333333333333,0.43,1,0.4266666666666667,0.13,1
confess,Grace visited her sister-factH,0.8757142857142857,0.7585714285714286,0.97,0.5042857142857143,0.36714285714285716,0.6414285714285715,0.39571428571428574,0.17567857142857146,0.6514642857142857
confess,Grace visited her sister-factL,0.20500000000000002,0,0.41000000000000003,0.16999999999999998,0,0.3825,0.685,0.25,1
confess,Isabella ate a steak on Sunday-factH,0.47714285714285715,0.4385,0.51,0.5885714285714286,0.32842857142857146,0.8171428571428572,0.6957142857142857,0.5499642857142856,0.8128571428571428
confess,Isabella ate a steak on Sunday-factL,0.02375,0.007468750000000003,0.04375,0.375,0.1175,0.6525,0.46875,0.15993749999999995,0.78125
confess,Jackson ran 10 miles-factH,0.7733333333333333,0.65325,0.8733333333333333,0.52,0.21000000000000002,0.835,0.9099999999999999,0.7933333333333333,0.9783333333333333
confess,Jackson ran 10 miles-factL,0.17200000000000001,0.082,0.308,0.516,0.302,0.6963999999999996,0.458,0.17775000000000002,0.7381499999999999
confess,Jayden rented a car-factH,0.5981818181818181,0.51725,0.6927727272727273,0.5290909090909091,0.3845454545454545,0.67825,0.6118181818181818,0.4945454545454545,0.7309318181818182
confess,Jayden rented a car-factL,0.08636363636363635,0.016363636363636372,0.21275,0.5072727272727273,0.3062954545454546,0.6945681818181818,0.6727272727272727,0.5609090909090909,0.7809545454545453
confess,Jon walks to work-factH,0.7125,0.61125,0.8012812500000001,0.62,0.37746874999999996,0.8675937499999998,0.7075,0.4761875,0.9
confess,Jon walks to work-factL,0.22749999999999998,0.095,0.47,0.22249999999999998,0.007500000000000007,0.5625,0.48250000000000004,0.020000000000000018,0.9450000000000001
confess,Josh learned to ride a bike yesterday-factH,0.546,0.444975,0.635075,0.442,0.20297500000000002,0.707025,0.516,0.2619,0.778075
confess,Josh learned to ride a bike yesterday-factL,0.158,0.09595000000000001,0.222,0.668,0.42575,0.92,0.772,0.5559499999999999,0.984
confess,Josie went on vacation to France-factH,0.6571428571428571,0.5714285714285714,0.7428928571428571,0.8071428571428572,0.701392857142857,0.9043214285714285,0.6414285714285715,0.35685714285714293,0.8814642857142857
confess,Josie went on vacation to France-factL,0.07,0.07,0.07,0.7,0.7,0.7,0.8200000000000001,0.8200000000000001,0.8200000000000001
confess,Julian dances salsa-factH,0.6,0.51,0.7171428571428571,0.46714285714285714,0.2671428571428572,0.6514285714285715,0.5714285714285714,0.2785714285714286,0.8357857142857141
confess,Julian dances salsa-factL,0.40599999999999997,0.272,0.59,0.33,0.07395000000000002,0.588,0.78,0.628,0.92
confess,Mary is pregnant-factH,0.9316666666666666,0.8533333333333334,0.9883333333333333,0.5433333333333333,0.22999999999999998,0.8366666666666667,0.41000000000000003,0.08500000000000002,0.7383333333333333
confess,Mary is pregnant-factL,0.1725,0.08993749999999999,0.26249999999999996,0.4625,0.26246875000000003,0.6487812499999999,0.7112499999999999,0.47996874999999994,0.91378125
confess,Mia drank 2 cocktails last night-factH,0.455,0.24,0.67,0.5800000000000001,0.26,0.9,0.16500000000000004,0.030000000000000027,0.30000000000000004
confess,Mia drank 2 cocktails last night-factL,0.18555555555555556,0.08888888888888889,0.2900277777777777,0.6977777777777778,0.5611111111111111,0.8200277777777778,0.6533333333333333,0.4855277777777777,0.8066944444444444
confess,Olivia sleeps until noon-factH,0.6714285714285715,0.5255714285714286,0.7800357142857143,0.5728571428571428,0.2742857142857143,0.81,0.7885714285714286,0.5942857142857143,0.9643571428571428
confess,Olivia sleeps until noon-factL,0.0925,0.04,0.14500000000000002,0.55,0.265,0.7650625,0.8624999999999999,0.7449999999999999,0.985
confess,Owen shoveled snow last winter-factH,0.75375,0.6387187499999999,0.87125,0.7025,0.50375,0.8775624999999999,0.61375,0.40621875,0.80375
confess,Owen shoveled snow last winter-factL,0.09333333333333334,0,0.26,0.48,0.17000000000000004,0.84,0.27666666666666667,0.020000000000000018,0.65
confess,Sophia got a tattoo-factH,0.6171428571428571,0.47703571428571434,0.73575,0.65,0.45,0.8342857142857143,0.5742857142857143,0.31139285714285714,0.8242857142857143
confess,Sophia got a tattoo-factL,0.315,0.13,0.5,0.24,0.15,0.33,0.385,0.13,0.64
confess,Tony had a drink last night-factH,0.6622222222222222,0.5643611111111111,0.7655833333333333,0.5322222222222222,0.38552777777777775,0.6555555555555556,0.5211111111111111,0.2643333333333333,0.7566666666666667
confess,Tony had a drink last night-factL,0.058,0.012000000000000004,0.114,0.422,0.218,0.634,0.514,0.25770000000000004,0.774
confess,Zoe calculated the tip-factH,0.8099999999999999,0.7571428571428571,0.8671785714285714,0.5514285714285714,0.32125000000000004,0.7314285714285714,0.7757142857142857,0.6385714285714286,0.9014285714285715
confess,Zoe calculated the tip-factL,0.13374999999999998,0.05249999999999999,0.24128124999999995,0.30375,0.09375,0.52125,0.48,0.23621874999999998,0.7338749999999998
confirm,Charley speaks Spanish-factH,0.8542857142857143,0.7928571428571429,0.9143214285714285,0.43714285714285717,0.18710714285714286,0.6986428571428571,0.5414285714285715,0.2598571428571429,0.8171785714285714
confirm,Charley speaks Spanish-factL,0.185,0.1,0.27,0.5,0.43,0.57,0.53,0.45,0.61
confirm,Danny ate the last cupcake-factH,0.7516666666666667,0.6199583333333334,0.8917083333333333,0.43833333333333335,0.14325,0.745,0.53,0.2865,0.7683333333333333
confirm,Danny ate the last cupcake-factL,0.13714285714285715,0.06857142857142857,0.20860714285714282,0.36857142857142855,0.19996428571428568,0.5543571428571428,0.40714285714285714,0.1742857142857143,0.6671428571428571
confirm,Emily bought a car yesterday-factH,0.5833333333333334,0.46,0.8,0.44,0.19,0.57,0.2866666666666666,0,0.6599999999999999
confirm,Emily bought a car yesterday-factL,0.116,0.04195,0.1860999999999999,0.298,0.094,0.502,0.42,0.20199999999999999,0.6880000000000001
confirm,Emma studied on Saturday morning-factH,0.8285714285714285,0.7113928571428572,0.9185714285714285,0.2785714285714286,0.03428571428571428,0.6,0.23285714285714285,0.07285714285714287,0.47289285714285706
confirm,Emma studied on Saturday morning-factL,0.22875,0.08621875000000001,0.39125,0.27125,0.12125,0.47390624999999986,0.19375000000000003,0.047468750000000004,0.40378125
confirm,Frank got a cat-factH,0.5033333333333333,0.48,0.53,0.3566666666666667,0.17,0.64,0.49333333333333335,0.26,0.94
confirm,Frank got a cat-factL,0.042,0.015975000000000003,0.07500000000000001,0.19999999999999998,0.075975,0.371025,0.355,0.163875,0.5830249999999999
confirm,Grace visited her sister-factH,0.665,0.54,0.79,0.2,0.17,0.23,0.68,0.45,0.91
confirm,Grace visited her sister-factL,0.0825,0.025,0.1275,0.245,0.07500000000000001,0.41500000000000004,0.22000000000000003,0.12,0.3550000000000001
confirm,Isabella ate a steak on Sunday-factH,0.452,0.338,0.518,0.41400000000000003,0.166,0.626,0.48400000000000004,0.23600000000000004,0.732
confirm,Isabella ate a steak on Sunday-factL,0.17714285714285716,0.025714285714285717,0.4542857142857143,0.32142857142857145,0.1142857142857143,0.5628571428571428,0.19,0.02285714285714288,0.4442857142857143
confirm,Jackson ran 10 miles-factH,0.754,0.666975,0.832,0.34700000000000003,0.19297500000000004,0.5010749999999999,0.355,0.186,0.525025
confirm,Jackson ran 10 miles-factL,0.17,0.1,0.22875,0.23875,0.1549375,0.35128125,0.355,0.18246874999999996,0.55134375
confirm,Jayden rented a car-factH,0.83,0.83,0.83,0.13,0.13,0.13,0.06000000000000005,0.06000000000000005,0.06000000000000005
confirm,Jayden rented a car-factL,0.0425,0.0049999999999999975,0.10250000000000001,0.14500000000000002,0.11,0.18,0.2175,0.08750000000000002,0.32999999999999996
confirm,Jon walks to work-factH,0.8533333333333333,0.8049999999999999,0.9216666666666666,0.4866666666666667,0.31,0.6833333333333333,0.16833333333333333,0.076625,0.25333333333333335
confirm,Jon walks to work-factL,0.16375,0.07875,0.27749999999999997,0.305,0.16999999999999998,0.43625,0.39625,0.17871875000000004,0.62003125
confirm,Josh learned to ride a bike yesterday-factH,0.5025000000000001,0.32371874999999994,0.66628125,0.29125,0.16625,0.41625,0.305,0.12865624999999997,0.49884375
confirm,Josh learned to ride a bike yesterday-factL,0.24,0.12825,0.3616875,0.2966666666666667,0.1908125,0.4216875,0.29000000000000004,0.12333333333333335,0.4900208333333333
confirm,Josie went on vacation to France-factH,0.798,0.734,0.862,0.37,0.17495,0.570075,0.46499999999999997,0.253,0.6849999999999999
confirm,Josie went on vacation to France-factL,0.11499999999999999,0.01625,0.29128124999999994,0.395,0.22246874999999997,0.5875,0.45875,0.23246875,0.706375
confirm,Julian dances salsa-factH,0.5,0.29,0.71,0.56,0.12,1,0.7,0.4,1
confirm,Julian dances salsa-factL,0.308,0.20400000000000001,0.4180499999999999,0.304,0.18,0.47600000000000003,0.268,0.13999999999999999,0.47
confirm,Mary is pregnant-factH,0.912,0.86,0.959,0.272,0.121975,0.44,0.399,0.1719,0.647025
confirm,Mary is pregnant-factL,0.12857142857142856,0.04428571428571429,0.22003571428571425,0.2914285714285714,0.12567857142857145,0.5014285714285714,0.23142857142857143,0.08857142857142858,0.41428571428571426
confirm,Mia drank 2 cocktails last night-factH,0.55125,0.44625,0.6789374999999999,0.41125,0.195,0.65128125,0.20625,0.10246875,0.30378124999999995
confirm,Mia drank 2 cocktails last night-factL,0.078,0.023,0.167,0.303,0.133,0.5170250000000001,0.436,0.22999999999999998,0.67305
confirm,Olivia sleeps until noon-factH,0.835,0.82,0.85,0.18,0.03,0.33,0.10000000000000003,0.05000000000000004,0.15000000000000002
confirm,Olivia sleeps until noon-factL,0.08666666666666667,0.043333333333333335,0.14,0.19833333333333333,0.05000000000000002,0.3700416666666666,0.25333333333333335,0.09666666666666668,0.4766666666666667
confirm,Owen shoveled snow last winter-factH,0.7823076923076923,0.6830576923076924,0.8761730769230769,0.3230769230769231,0.1384423076923077,0.5346346153846153,0.19615384615384618,0.06380769230769232,0.36155769230769225
confirm,Owen shoveled snow last winter-factL,0.17666666666666667,0.08325,0.27170833333333333,0.2833333333333333,0.08333333333333334,0.5067499999999998,0.1433333333333333,0.04495833333333332,0.25666666666666665
confirm,Sophia got a tattoo-factH,0.585,0.49,0.685,0.10750000000000001,0,0.28500000000000003,0.017500000000000012,0,0.037500000000000026
confirm,Sophia got a tattoo-factL,0.22833333333333333,0.14333333333333334,0.3452499999999997,0.24166666666666667,0.09162500000000001,0.41500000000000004,0.4,0.14833333333333332,0.66175
confirm,Tony had a drink last night-factH,0.72,0.72,0.72,0.16,0.16,0.16,0.26,0.26,0.26
confirm,Tony had a drink last night-factL,0.08923076923076922,0.04384615384615385,0.13771153846153847,0.25153846153846154,0.13459615384615384,0.3762307692307692,0.25384615384615383,0.10075,0.4276923076923077
confirm,Zoe calculated the tip-factH,0.81,0.7299642857142856,0.8929285714285713,0.5014285714285714,0.24849999999999994,0.7230714285714285,0.49,0.2528571428571429,0.7128571428571429
confirm,Zoe calculated the tip-factL,0.102,0.062,0.14,0.246,0.057999999999999996,0.518,0.54,0.1977,0.882
demonstrate,Charley speaks Spanish-factH,0.85125,0.7612187499999999,0.93375,0.69,0.44490625,0.8962812499999999,0.5175,0.21500000000000002,0.8150937499999998
demonstrate,Charley speaks Spanish-factL,0.2875,0.14,0.435,0.4075,0.14500000000000002,0.6224999999999999,0.2425,0.025000000000000022,0.46
demonstrate,Danny ate the last cupcake-factH,0.706,0.588,0.804,0.36,0.13799999999999998,0.574,0.58,0.252,0.8520999999999999
demonstrate,Danny ate the last cupcake-factL,0.4775,0.38749999999999996,0.5599999999999999,0.365,0.14,0.665,0.5775,0.15418750000000003,1
demonstrate,Emily bought a car yesterday-factH,0.5536363636363636,0.4727272727272727,0.6236363636363637,0.35818181818181816,0.21179545454545456,0.5100454545454546,0.5327272727272727,0.3254090909090909,0.7145681818181817
demonstrate,Emily bought a car yesterday-factL,0.11,0.020000000000000004,0.2475,0.4075,0.21000000000000002,0.6510624999999991,0.2225,0.027499999999999997,0.41000000000000003
demonstrate,Emma studied on Saturday morning-factH,0.755,0.7,0.81,0.12,0.03,0.21,0.45,0.020000000000000018,0.88
demonstrate,Emma studied on Saturday morning-factL,0.37142857142857144,0.1770714285714286,0.5774642857142854,0.4328571428571429,0.2,0.6643214285714285,0.30142857142857143,0.11846428571428572,0.5
demonstrate,Frank got a cat-factH,0.6325,0.55875,0.7025,0.55625,0.36115625,0.7262812500000001,0.47624999999999995,0.23374999999999996,0.6675
demonstrate,Frank got a cat-factL,0.1,0.052222222222222225,0.15333333333333335,0.32333333333333336,0.10991666666666666,0.5844999999999999,0.38666666666666666,0.15766666666666668,0.6533333333333333
demonstrate,Grace visited her sister-factH,0.8183333333333334,0.6633333333333333,0.935,0.32,0.11141666666666666,0.525,0.5016666666666667,0.1731666666666667,0.8083333333333333
