item,content,short_trigger,workerid,prior_type,prior_fact,block_ai,ai,prior,projective,eventItemNr,eventItem,contentNew,prior_typeNew,contentFact
admit_charley,charley,admit,478,low_prior,Charley lives in Korea,block1,0.92,0.03,0.69,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL
admit_charley,charley,admit,482,high_prior,Charley lives in Mexico,block1,0.94,1,0.95,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
admit_charley,charley,admit,504,high_prior,Charley lives in Mexico,block2,0.29000000000000004,1,0.39,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
admit_charley,charley,admit,523,high_prior,Charley lives in Mexico,block2,0.020000000000000018,0.98,0.9,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
admit_charley,charley,admit,526,high_prior,Charley lives in Mexico,block1,0.25,0.69,0.77,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
admit_charley,charley,admit,545,high_prior,Charley lives in Mexico,block1,0.12,0.98,0.16,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
admit_charley,charley,admit,560,high_prior,Charley lives in Mexico,block2,0.71,0.81,0.26,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
admit_charley,charley,admit,573,high_prior,Charley lives in Mexico,block1,0.96,0.74,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
admit_charley,charley,admit,595,low_prior,Charley lives in Korea,block1,0.76,0.14,0.56,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL
announce_charley,charley,announce,6,low_prior,Charley lives in Korea,block2,1,0.48,0.28,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL
announce_charley,charley,announce,38,high_prior,Charley lives in Mexico,block1,0.94,0.92,0.92,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
announce_charley,charley,announce,196,low_prior,Charley lives in Korea,block2,0.92,0.49,0.55,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL
announce_charley,charley,announce,233,high_prior,Charley lives in Mexico,block1,0.97,0.42,0.07,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
announce_charley,charley,announce,242,high_prior,Charley lives in Mexico,block2,0.52,0.91,0.5,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
announce_charley,charley,announce,285,high_prior,Charley lives in Mexico,block2,0.45999999999999996,0.63,0.33,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
announce_charley,charley,announce,286,high_prior,Charley lives in Mexico,block2,1,0.86,0.06,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
announce_charley,charley,announce,328,high_prior,Charley lives in Mexico,block2,0.51,1,0.53,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
announce_charley,charley,announce,329,high_prior,Charley lives in Mexico,block1,0.77,0.93,0.83,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
announce_charley,charley,announce,345,high_prior,Charley lives in Mexico,block2,0.87,0.91,0.9,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
announce_charley,charley,announce,361,high_prior,Charley lives in Mexico,block1,1,1,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
announce_charley,charley,announce,379,low_prior,Charley lives in Korea,block1,0.98,0.44,0.94,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL
announce_charley,charley,announce,385,high_prior,Charley lives in Mexico,block1,0.37,0.7,0.92,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
announce_charley,charley,announce,437,low_prior,Charley lives in Korea,block2,0.48,0.27,0.78,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL
announce_charley,charley,announce,447,low_prior,Charley lives in Korea,block1,0.47,0.52,0.49,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL
announce_charley,charley,announce,453,high_prior,Charley lives in Mexico,block1,0.72,0.78,0.74,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
announce_charley,charley,announce,481,high_prior,Charley lives in Mexico,block2,0.8200000000000001,0.94,0.79,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
announce_charley,charley,announce,532,high_prior,Charley lives in Mexico,block2,0.97,0.93,0.91,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
announce_charley,charley,announce,568,high_prior,Charley lives in Mexico,block1,0.99,0.9,0.98,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
be_annoyed_charley,charley,be annoyed,22,low_prior,Charley lives in Korea,block1,1,0,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL
be_annoyed_charley,charley,be annoyed,66,high_prior,Charley lives in Mexico,block1,0.9299999999999999,0.93,0.67,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
be_annoyed_charley,charley,be annoyed,69,low_prior,Charley lives in Korea,block2,0.51,0.1,0.95,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL
be_annoyed_charley,charley,be annoyed,70,low_prior,Charley lives in Korea,block1,0.62,0.38,0.98,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL
be_annoyed_charley,charley,be annoyed,73,high_prior,Charley lives in Mexico,block2,0.81,0.94,0.76,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH
be_annoyed_charley,charley,be annoyed,76,low_prior,Charley lives in Korea,block1,1,0.48,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL
